Designator,Mid X,Mid Y,Rotation,Layer
BZ1,147.9,-88.5,0.0,top
C1,112.3,-104.1,270.0,top
C2,105.2,-103.1,180.0,top
C3,112.3,-112.0,270.0,top
D1,120.0,-71.5,0.0,top
D2,154.0,-71.5,0.0,top
J1,130.4,-120.7,270.0,top
J2,153.4,-120.7,270.0,top
J3,104.1,-110.06,270.0,top
J4,102.76,-120.3,90.0,top
J5,164.0,-110.8,180.0,top
J6,102.38,-75.3,90.0,top
R1,133.0,-71.5,0.0,top
U1,105.7,-92.7,180.0,top
U2,105.75,-84.9,180.0,top
U3,126.85,-110.95,270.0,top
U4,149.6,-110.95,270.0,top
U5,114.7,-80.02,180.0,top
U6,142.195,-88.4,270.0,top
